AEP_SI,BP_SI,BSAC_SI,CHTR_SI,CMCSA_SI,GOOG_SI,HON_SI,HSBC_SI,MCD_SI,MMM_SI,NEE_SI,PM_SI,UNH_SI,UPS_SI,XOM_SI,DATE,DJI_SI,VIX_SI,GSPC_SI,CLF_SI,GCF_SI,TNX_SI
3384500,6883900,555100,379900,34687800,114989399,3839854,1720700,6754700,3007400,11679600,5589500,5406400,3698900,16130900,2012-01-04,102.98999786376953,1596.5999755859375,12392.4599609375,1277.030029296875,1.937000036239624,23.440000534057617
4039900,5570700,843440,571700,44687000,131808205,3015305,2005100,8163800,3116400,13628000,5407000,6330100,5064700,17452800,2012-01-05,103.29000091552734,1610.800048828125,12418.419921875,1277.300048828125,1.9910000562667847,22.75
3215200,5976000,302900,274100,19228000,108119746,4017330,1361700,6775300,2839200,18193600,6745900,5321700,3177500,15942100,2012-01-06,101.3499984741211,1622.5,12407.4501953125,1280.9300537109375,2.003000020980835,21.239999771118164
6044500,3641400,225680,341700,39423000,233776981,2717729,1996600,4433700,2796600,9357200,4766400,5079300,3959000,11664200,2012-01-09,101.91999816894531,1614.300048828125,12359.3095703125,1277.8299560546875,1.975000023841858,21.670000076293945
4721000,6711600,383760,434700,38885200,176483032,5781808,2529500,5075400,3438400,7598400,4937000,7063200,3803700,13080800,2012-01-10,101.30000305175781,1619.9000244140625,12394.509765625,1280.77001953125,1.9889999628067017,20.139999389648438
3074300,6427000,369200,362200,23534800,96359832,3675595,3857200,4622500,4465300,7078400,5095800,4281600,4047500,14831400,2012-01-11,102.19999694824219,1634.800048828125,12459.51953125,1292.02001953125,1.9509999752044678,21.18000030517578
2447000,5863200,514280,1292200,22122800,75289148,3144846,4507600,4022700,3649900,7762400,4698700,4550300,2777700,17357200,2012-01-12,101.0,1645.199951171875,12449.91015625,1292.47998046875,1.9190000295639038,21.010000228881836
2717400,4711400,513760,350100,20122400,92637933,2581266,2285000,4134800,3092900,8264400,4916800,4995700,5020600,15551600,2012-01-13,99.19999694824219,1638.9000244140625,12469.9599609375,1294.8199462890625,1.9049999713897705,21.40999984741211
4096300,5930600,873340,454000,23967800,76658261,3244492,2035500,4555800,2694900,7612400,6676900,6495700,4093200,15627900,2012-01-17,98.94999694824219,1643.699951171875,12423.1201171875,1290.219970703125,1.899999976158142,20.899999618530273
2854500,5602700,761280,153100,29457200,110882061,4167954,1852200,4844500,3721100,7074800,13761200,8389800,4578400,16754200,2012-01-18,100.91000366210938,1654.0,12474.6904296875,1293.6500244140625,1.8569999933242798,23.200000762939453
4582300,7487300,521040,425500,20073800,253157352,4192184,3123100,4763300,3413700,9229200,8226400,18656600,4714100,16383500,2012-01-19,101.13999938964844,1663.0,12578.1904296875,1308.0699462890625,1.9259999990463257,20.489999771118164
4167500,9085400,738920,286900,30587600,424637703,6689326,2340800,5630400,3522600,9678000,6017200,8873800,5051000,19220300,2012-01-20,100.38999938964844,1652.800048828125,12623.830078125,1314.489990234375,1.9930000305175781,19.90999984741211
4864200,6455300,329940,539500,27095600,137027695,3541439,1433400,6059700,3494800,8460000,5924200,7535900,3198600,15348400,2012-01-23,98.33999633789062,1676.9000244140625,12720.25,1315.2900390625,2.059999942779541,19.219999313354492
2954800,6135500,554320,510300,20047000,122690156,2777412,1118500,11654100,3895600,5954400,4608700,10397800,3577700,12363800,2012-01-24,99.87999725341797,1666.9000244140625,12708.3701171875,1315.9599609375,2.0490000247955322,19.760000228881836
3548200,5846400,593580,594800,36182200,200255805,3855273,3529800,7544000,4412000,9944000,8417000,13121500,4219800,18202300,2012-01-25,99.19999694824219,1673.0,12673.6298828125,1314.4000244140625,2.0490000247955322,19.350000381469727
11512300,6681200,437320,658500,37100200,129531704,4795412,2743400,4607100,4898900,11892800,5419800,13576200,4011600,15658200,2012-01-26,99.95999908447266,1729.0,12756.9599609375,1326.280029296875,1.9579999446868896,17.959999084472656
14305700,8780000,1507740,559600,28733600,145242371,6406435,1436200,5135000,3747200,10602000,5934500,7027300,4284000,15976700,2012-01-27,99.93000030517578,1727.0,12733.9501953125,1318.25,1.9630000591278076,19.15999984741211
13053400,10780900,572260,344100,36507400,93569411,3899013,2192100,6104900,3148400,10821600,4698900,4852400,4318400,17867000,2012-01-30,100.0,1737.199951171875,12659.169921875,1316.1600341796875,1.8420000076293945,20.329999923706055
5133600,23364500,1018680,193500,32184800,86017210,3615387,1420800,6574200,3552100,8736800,5688800,8843000,6997700,27225800,2012-01-31,98.87999725341797,1731.699951171875,12654.7802734375,1313.530029296875,1.8509999513626099,19.06999969482422
6510000,11902000,1169740,312800,32168200,93175942,3630492,2581400,6141300,3005500,8662400,4321500,7480600,7305600,22266100,2012-02-01,98.37999725341797,1738.199951171875,12632.759765625,1312.449951171875,1.8070000410079956,18.68000030517578
3805400,7513300,2046460,154400,34668800,96950036,3391235,1330600,3984000,2288000,8047600,2967200,5319200,3043100,18020500,2012-02-02,97.11000061035156,1745.0999755859375,12716.5400390625,1324.239990234375,1.819000005722046,18.3799991607666
4217000,12074800,2566980,321600,27271400,127215053,5929285,2428100,5600900,3195500,7399200,3496200,9676900,4149200,16145400,2012-02-03,96.61000061035156,1758.699951171875,12705.0400390625,1326.2099609375,1.815999984741211,16.84000015258789
3933500,8785400,639080,94900,25879600,147735682,4084775,982800,3486600,2189300,5274400,3733700,8577100,3922300,15000900,2012-02-06,97.73999786376953,1728.0,12860.7197265625,1344.3199462890625,1.9240000247955322,17.979999542236328
3998300,11373200,1793740,199000,24368800,83997668,3025899,2188500,6029900,2959100,7050000,5607100,5243300,5027900,15818400,2012-02-07,97.12999725341797,1722.0,12844.3701171875,1344.3299560546875,1.9140000343322754,17.93000030517578
4325000,12378300,735800,391400,25437200,73731331,3410954,2273600,5433600,2522800,6726400,5024600,6022000,3262300,14762600,2012-02-08,98.7699966430664,1744.0,12865.7900390625,1347.0400390625,1.9980000257492065,17.790000915527344
